========================================
RISC-V TSO Memory Model Test
========================================
Test: Store_Buffering_Evolved
Iterations: 200
========================================


=== Memory Trace (TSO) - Sorted by Timestamp ===
timestamp,seq_id,core_id,type,address,value,po_index
TRACE:4388098901537115,0,1,WRITE,0x7cdd0,1,0
TRACE:4388098901737073,1,1,FENCE,0x0,0,1
TRACE:4388098901801985,2,1,READ,0x7cd90,0,2
TRACE:4388098901928390,0,0,WRITE,0x7cd90,1,0
TRACE:4388098901944500,1,0,FENCE,0x0,0,1
TRACE:4388098901958068,2,0,READ,0x7cdd0,1,2
TRACE:4388098902103575,3,1,WRITE,0x7cdd0,1,3
TRACE:4388098902104093,4,1,FENCE,0x0,0,4
TRACE:4388098902104430,5,1,READ,0x7cd90,0,5
TRACE:4388098902136560,3,0,WRITE,0x7cd90,1,3
TRACE:4388098902137190,4,0,FENCE,0x0,0,4
TRACE:4388098902137573,5,0,READ,0x7cdd0,1,5
TRACE:4388098902175688,6,1,WRITE,0x7cdd0,1,6
TRACE:4388098902176160,7,1,FENCE,0x0,0,7
TRACE:4388098902176430,8,1,READ,0x7cd90,1,8
TRACE:4388098902200010,6,0,WRITE,0x7cd90,1,6
TRACE:4388098902200393,7,0,FENCE,0x0,0,7
TRACE:4388098902200798,8,0,READ,0x7cdd0,1,8
TRACE:4388098902233963,9,1,WRITE,0x7cdd0,1,9
TRACE:4388098902234345,10,1,FENCE,0x0,0,10
TRACE:4388098902234615,11,1,READ,0x7cd90,1,11
TRACE:4388098902265868,9,0,WRITE,0x7cd90,1,9
TRACE:4388098902266205,10,0,FENCE,0x0,0,10
TRACE:4388098902266475,11,0,READ,0x7cdd0,1,11
TRACE:4388098902296423,12,1,WRITE,0x7cdd0,1,12
TRACE:4388098902296918,13,1,FENCE,0x0,0,13
TRACE:4388098902297098,14,1,READ,0x7cd90,1,14
TRACE:4388098902308865,12,0,WRITE,0x7cd90,1,12
TRACE:4388098902309158,13,0,FENCE,0x0,0,13
TRACE:4388098902309405,14,0,READ,0x7cdd0,1,14
TRACE:4388098902336473,15,1,WRITE,0x7cdd0,1,15
TRACE:4388098902336698,16,1,FENCE,0x0,0,16
TRACE:4388098902336833,17,1,READ,0x7cd90,1,17
TRACE:4388098902357330,15,0,WRITE,0x7cd90,1,15
TRACE:4388098902357690,16,0,FENCE,0x0,0,16
